type,time,exchange,competitor,odds,agentID,decision,stake
Trade,31.26488208770752,0,0,1.1,14,backer,15
Trade,31.26488208770752,0,0,1.1,1,layer,15
Trade,31.279671907424927,0,0,1.1,13,backer,15
Trade,31.279671907424927,0,0,1.1,3,layer,15
Trade,31.43757200241089,0,0,1.1,11,backer,15
Trade,31.43757200241089,0,0,1.1,4,layer,15
Trade,31.549505949020386,0,0,1.1,10,backer,15
Trade,31.549505949020386,0,0,1.1,1,layer,15
Trade,31.698034048080444,0,0,2.1,21,backer,15
Trade,31.698034048080444,0,0,2.1,3,layer,15
Trade,31.70323896408081,0,0,1.1,29,backer,15
Trade,31.70323896408081,0,0,1.1,4,layer,15
Trade,31.816417932510376,0,0,1.1,23,backer,15
Trade,31.816417932510376,0,0,1.1,3,layer,15
Trade,32.32135987281799,0,0,1.1,25,backer,15
Trade,32.32135987281799,0,0,1.1,1,layer,15
Trade,32.75354599952698,0,0,1.1,22,backer,15
Trade,32.75354599952698,0,0,1.1,1,layer,15
Trade,32.77978205680847,0,0,1.1,28,backer,15
Trade,32.77978205680847,0,0,1.1,4,layer,15
Trade,32.85987401008606,0,0,1.1,26,backer,15
Trade,32.85987401008606,0,0,1.1,3,layer,15
Trade,32.9997341632843,0,0,1.1,27,backer,15
Trade,32.9997341632843,0,0,1.1,4,layer,15
Trade,33.0964879989624,0,0,1.1,20,backer,15
Trade,33.0964879989624,0,0,1.1,4,layer,15
Trade,33.32244110107422,0,0,1.1,24,backer,15
Trade,33.32244110107422,0,0,1.1,3,layer,15
Trade,39.06029200553894,0,0,2.1,36,backer,15
Trade,39.06029200553894,0,0,2.1,1,layer,15
Trade,39.06043291091919,0,0,1.1,34,backer,15
Trade,39.06043291091919,0,0,1.1,4,layer,15
Trade,39.060543060302734,0,0,1.1,35,backer,15
Trade,39.060543060302734,0,0,1.1,3,layer,15
Trade,39.06090307235718,0,0,1.1,33,backer,15
Trade,39.06090307235718,0,0,1.1,1,layer,15
Trade,39.06742596626282,0,0,1.1,30,backer,15
Trade,39.06742596626282,0,0,1.1,4,layer,15
Trade,39.06941509246826,0,0,1.1,37,backer,15
Trade,39.06941509246826,0,0,1.1,1,layer,15
Trade,39.072176933288574,0,0,1.1,39,backer,15
Trade,39.072176933288574,0,0,1.1,1,layer,15
Trade,39.07267498970032,0,0,1.1,32,backer,15
Trade,39.07267498970032,0,0,1.1,1,layer,15
Trade,39.072916984558105,0,0,1.1,38,backer,15
Trade,39.072916984558105,0,0,1.1,1,layer,15
Trade,39.07434296607971,0,0,1.1,31,backer,15
Trade,39.07434296607971,0,0,1.1,3,layer,15
Trade,39.087023973464966,0,0,2.1,1,backer,15
Trade,39.087023973464966,0,0,2.1,3,layer,15
Trade,39.162927865982056,0,0,1.1,4,backer,15
Trade,39.162927865982056,0,0,1.1,1,layer,15
Trade,39.83119797706604,0,0,1.1,1,backer,15
Trade,39.83119797706604,0,0,1.1,3,layer,15
Trade,39.90523600578308,0,0,1.1,3,backer,15
Trade,39.90523600578308,0,0,1.1,1,layer,15
Trade,39.954895973205566,0,0,1.1,32,backer,15
Trade,39.954895973205566,0,0,1.1,1,layer,15
Trade,40.05344796180725,0,0,1.1,1,backer,15
Trade,40.05344796180725,0,0,1.1,1,layer,15
Trade,40.11002802848816,0,0,1.1,31,backer,15
Trade,40.11002802848816,0,0,1.1,4,layer,15
Trade,40.12858605384827,0,0,1.1,33,backer,15
Trade,40.12858605384827,0,0,1.1,4,layer,15
Trade,40.17097210884094,0,0,1.1,34,backer,15
Trade,40.17097210884094,0,0,1.1,4,layer,15
Trade,40.44006419181824,0,0,1.1,30,backer,15
Trade,40.44006419181824,0,0,1.1,51,layer,15
Trade,40.4402539730072,0,0,1.1,37,backer,15
Trade,40.4402539730072,0,0,1.1,50,layer,15
Trade,40.44038701057434,0,0,1.1,35,backer,15
Trade,40.44038701057434,0,0,1.1,53,layer,15
Trade,40.44055414199829,0,0,1.1,36,backer,15
Trade,40.44055414199829,0,0,1.1,54,layer,15
Trade,40.44068002700806,0,0,1.1,38,backer,15
Trade,40.44068002700806,0,0,1.1,52,layer,15
Trade,40.47683382034302,0,0,1.1,1,backer,15
Trade,40.47683382034302,0,0,1.1,53,layer,15
Trade,0.6663651466369629,0,1,1.1,9,backer,15
Trade,0.6663651466369629,0,1,1.1,5,layer,15
Trade,0.6675679683685303,0,1,1.1,5,backer,15
Trade,0.6675679683685303,0,1,1.1,0,layer,15
Trade,0.8105270862579346,0,1,1.9999999999999996,38,backer,15
Trade,0.8105270862579346,0,1,1.9999999999999996,5,layer,15
Trade,0.858396053314209,0,1,1.9999999999999996,30,backer,15
Trade,0.858396053314209,0,1,1.9999999999999996,9,layer,15
Trade,0.9595611095428467,0,1,1.9999999999999996,32,backer,15
Trade,0.9595611095428467,0,1,1.9999999999999996,9,layer,15
Trade,1.120725154876709,0,1,2.0999999999999996,36,backer,15
Trade,1.120725154876709,0,1,2.0999999999999996,9,layer,15
Trade,1.1546130180358887,0,1,2.0999999999999996,31,backer,15
Trade,1.1546130180358887,0,1,2.0999999999999996,5,layer,15
Trade,1.4582219123840332,0,1,2.0999999999999996,37,backer,15
Trade,1.4582219123840332,0,1,2.0999999999999996,5,layer,15
Trade,1.517557144165039,0,1,2.0999999999999996,33,backer,15
Trade,1.517557144165039,0,1,2.0999999999999996,5,layer,15
Trade,1.6722559928894043,0,1,2.0999999999999996,35,backer,15
Trade,1.6722559928894043,0,1,2.0999999999999996,9,layer,15
Trade,1.7826619148254395,0,1,2.0999999999999996,34,backer,15
Trade,1.7826619148254395,0,1,2.0999999999999996,0,layer,15
Trade,1.9542219638824463,0,1,1.1,9,backer,15
Trade,1.9542219638824463,0,1,1.1,5,layer,15
Trade,2.00952410697937,0,1,2.0999999999999996,39,backer,15
Trade,2.00952410697937,0,1,2.0999999999999996,9,layer,15
Trade,2.0948989391326904,0,1,2.4,54,backer,15
Trade,2.0948989391326904,0,1,2.4,9,layer,15
Trade,2.1092240810394287,0,1,4.9,51,backer,15
Trade,2.1092240810394287,0,1,4.9,5,layer,15
Trade,0.151292085647583,0,2,4.9,51,backer,15
Trade,0.151292085647583,0,2,4.9,2,layer,15
Trade,0.6124470233917236,0,2,6.043229788942185,51,backer,15
Trade,0.6124470233917236,0,2,6.043229788942185,7,layer,15
Trade,0.6406149864196777,0,2,6.043229788942185,51,backer,15
Trade,0.6406149864196777,0,2,6.043229788942185,2,layer,15
Trade,0.7473430633544922,0,2,6.043229788942185,51,backer,15
Trade,0.7473430633544922,0,2,6.043229788942185,2,layer,15
Trade,0.9845280647277832,0,2,6.043229788942185,51,backer,15
Trade,0.9845280647277832,0,2,6.043229788942185,2,layer,15
Trade,1.0671441555023193,0,2,5.043229788942185,2,backer,15
Trade,1.0671441555023193,0,2,5.043229788942185,7,layer,15
Trade,1.2068209648132324,0,2,5.043229788942185,2,backer,15
Trade,1.2068209648132324,0,2,5.043229788942185,7,layer,15
Trade,1.3544888496398926,0,2,1.1,7,backer,15
Trade,1.3544888496398926,0,2,1.1,52,layer,15
Trade,2.040205955505371,0,2,4.75608245872151,7,backer,15
Trade,2.040205955505371,0,2,4.75608245872151,2,layer,15
Trade,2.057620048522949,0,2,4.75608245872151,2,backer,15
Trade,2.057620048522949,0,2,4.75608245872151,52,layer,15
Trade,3.206346035003662,0,2,6.147201418153715,2,backer,15
Trade,3.206346035003662,0,2,6.147201418153715,2,layer,15
Trade,4.09172797203064,0,2,5.147201418153715,2,backer,15
Trade,4.09172797203064,0,2,5.147201418153715,7,layer,15
Trade,5.286503076553345,0,2,6.147201418153715,2,backer,15
Trade,5.286503076553345,0,2,6.147201418153715,7,layer,15
Trade,5.3331139087677,0,2,6.147201418153715,7,backer,15
Trade,5.3331139087677,0,2,6.147201418153715,7,layer,15
Trade,5.999585866928101,0,2,5.147201418153715,7,backer,15
Trade,5.999585866928101,0,2,5.147201418153715,2,layer,15
